baseline,lambda_cost,eta_cost,gamma_cost,nuisance_mode,mean_actionable_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
KS-max,0.25,0.25,0.1,total,-0.9332115769879117,-1.733796886286272,0.21310935933415315,0.16666666666666666,False
JSD,0.25,0.25,0.1,total,-1.1153968089869404,-1.7550134936980228,-0.2778100576378349,0.06666666666666667,False
QK-MMD PauliXZ,0.25,0.25,0.1,total,0.6901362186806118,-0.04037461076397461,1.61346769058553,0.4666666666666667,False
Energy distance,0.25,0.5,0.0,total,0.35182291666666665,-0.24454427083333333,1.0182356770833334,0.43333333333333335,False
MMD-RBF,0.25,0.5,0.0,total,0.37552083333333336,-0.2705859375,1.1773632812499997,0.4666666666666667,False
KS-max,0.25,0.5,0.0,total,0.5526041666666667,-0.2942708333333333,1.768333333333332,0.43333333333333335,False
JSD,0.25,0.5,0.0,total,0.6083333333333333,-0.022395833333333334,1.3961328124999994,0.6,False
QK-MMD PauliXZ,0.25,0.5,0.0,total,0.51015625,-0.19351562499999997,1.3961328124999994,0.43333333333333335,False
Energy distance,0.25,0.5,0.01,total,0.1860368887359898,-0.41087146652897644,0.8528028020867291,0.43333333333333335,False
MMD-RBF,0.25,0.5,0.01,total,0.24775027976794337,-0.39850323775796287,1.0498360047979542,0.43333333333333335,False
KS-max,0.25,0.5,0.01,total,0.38985592563454213,-0.4556800719999046,1.6053538799180986,0.4,False
JSD,0.25,0.5,0.01,total,0.4417936524346394,-0.18820563135552226,1.2289538813259078,0.5666666666666667,False
QK-MMD PauliXZ,0.25,0.5,0.01,total,0.5214875802013947,-0.1830377927388041,1.408563973911691,0.43333333333333335,False
Energy distance,0.25,0.5,0.05,total,-0.4771072229867181,-1.0756601158665144,0.18956021504405343,0.3,False
MMD-RBF,0.25,0.5,0.05,total,-0.2633319344936172,-0.9092340480748147,0.5385771248505381,0.3,False
KS-max,0.25,0.5,0.05,total,-0.261137038493956,-1.1053273105984944,0.9552721440240711,0.23333333333333334,False
JSD,0.25,0.5,0.05,total,-0.22436507116013676,-0.8533806682876456,0.5629535342694671,0.4,False
QK-MMD PauliXZ,0.25,0.5,0.05,total,0.5668129010069727,-0.1403226970794689,1.4573104538464106,0.43333333333333335,False
Energy distance,0.25,0.5,0.1,total,-1.3060373626401025,-1.9063784180132017,-0.6381478214400509,0.2,False
MMD-RBF,0.25,0.5,0.1,total,-0.9021847023205679,-1.5482766450687198,-0.10197872612846604,0.16666666666666666,False
KS-max,0.25,0.5,0.1,total,-1.0748782436545783,-1.9175887374709903,0.13882196327138785,0.13333333333333333,False
JSD,0.25,0.5,0.1,total,-1.057063475653607,-1.6859087626527862,-0.26800420172094475,0.13333333333333333,False
QK-MMD PauliXZ,0.25,0.5,0.1,total,0.6234695520139454,-0.08793438696842842,1.5180060384379461,0.5,False
Energy distance,0.25,1.0,0.0,total,0.16848958333333333,-0.48021484375,0.8799479166666667,0.4666666666666667,False
MMD-RBF,0.25,1.0,0.0,total,0.025520833333333333,-0.6679752604166667,0.8750260416666663,0.4666666666666667,False
KS-max,0.25,1.0,0.0,total,0.26927083333333335,-0.69974609375,1.6088606770833334,0.4,False
JSD,0.25,1.0,0.0,total,0.725,0.05234375,1.4705924479166663,0.6666666666666666,True
QK-MMD PauliXZ,0.25,1.0,0.0,total,0.3768229166666667,-0.3247526041666667,1.2263281249999995,0.5,False
Energy distance,0.25,1.0,0.01,total,0.0027035554026564176,-0.6462685130212933,0.7137921428072206,0.43333333333333335,False
MMD-RBF,0.25,1.0,0.01,total,-0.10224972023205675,-0.7960383411950461,0.7468542710243032,0.4,False
KS-max,0.25,1.0,0.01,total,0.10652259230120874,-0.8623138159841014,1.44552752093787,0.3333333333333333,False
JSD,0.25,1.0,0.01,total,0.5584603191013059,-0.11392590950666823,1.3039585755625813,0.6333333333333333,False
QK-MMD PauliXZ,0.25,1.0,0.01,total,0.3881542468680612,-0.3142847660504599,1.2372667973595075,0.5,False
Energy distance,0.25,1.0,0.05,total,-0.6604405563200514,-1.311418070013572,0.051555013162966706,0.26666666666666666,False
MMD-RBF,0.25,1.0,0.05,total,-0.6133319344936171,-1.3048300381579367,0.23404023908339056,0.3,False
KS-max,0.25,1.0,0.05,total,-0.5444703718272893,-1.5100568218527233,0.7933808985993035,0.2,False
JSD,0.25,1.0,0.05,total,-0.10769840449347005,-0.7785970554503486,0.6404384027995836,0.4,False
QK-MMD PauliXZ,0.25,1.0,0.05,total,0.43347956767363943,-0.270566960286092,1.2840200456007047,0.5,False
Energy distance,0.25,1.0,0.1,total,-1.4893706959734354,-2.1404724259114394,-0.7753725053147649,0.2,False
MMD-RBF,0.25,1.0,0.1,total,-1.2521847023205674,-1.9437898636573419,-0.4048000242340594,0.13333333333333333,False
KS-max,0.25,1.0,0.1,total,-1.3582115769879115,-2.3238776652310533,-0.02597698427765061,0.13333333333333333,False
JSD,0.25,1.0,0.1,total,-0.9403968089869401,-1.6095851031709367,-0.19005157631643446,0.2,False
QK-MMD PauliXZ,0.25,1.0,0.1,total,0.4901362186806119,-0.21618341387106924,1.3435707586149306,0.5333333333333333,False
Energy distance,0.25,2.0,0.0,total,-0.19817708333333334,-1.0711197916666666,0.7146028645833331,0.36666666666666664,False
MMD-RBF,0.25,2.0,0.0,total,-0.6744791666666666,-1.5703385416666666,0.33724609374999986,0.3,False
KS-max,0.25,2.0,0.0,total,-0.29739583333333336,-1.5901106770833333,1.3437565104166667,0.36666666666666664,False
JSD,0.25,2.0,0.0,total,0.9583333333333334,0.08098958333333334,1.8273502604166667,0.7,True
QK-MMD PauliXZ,0.25,2.0,0.0,total,0.11015625,-0.7463802083333333,1.0182421874999998,0.5,False
Energy distance,0.25,2.0,0.01,total,-0.3639631112640105,-1.2371858750736962,0.5493370658938296,0.36666666666666664,False
MMD-RBF,0.25,2.0,0.01,total,-0.802249720232057,-1.6991587272382442,0.20881082179491206,0.26666666666666666,False
KS-max,0.25,2.0,0.01,total,-0.46014407436545796,-1.7509845363484418,1.1802190766545115,0.3333333333333333,False
JSD,0.25,2.0,0.01,total,0.7917936524346391,-0.08502337481187076,1.6600104349849893,0.6666666666666666,False
QK-MMD PauliXZ,0.25,2.0,0.01,total,0.12148758020139452,-0.7358787884434752,1.0302154491074655,0.5,False
Energy distance,0.25,2.0,0.05,total,-1.0271072229867177,-1.8988026716960642,-0.11414243189988618,0.26666666666666666,False
MMD-RBF,0.25,2.0,0.05,total,-1.3133319344936172,-2.2049153532631265,-0.3026640307678419,0.23333333333333334,False
KS-max,0.25,2.0,0.05,total,-1.111137038493956,-2.4005725320671627,0.529206672703042,0.2,False
JSD,0.25,2.0,0.05,total,0.1256349288398633,-0.7490972898137356,0.9909193439023601,0.5,False
QK-MMD PauliXZ,0.25,2.0,0.05,total,0.1668129010069728,-0.6906901815960735,1.077239411151754,0.5,False
Energy distance,0.25,2.0,0.1,total,-1.8560373626401023,-2.72542052114981,-0.941124088204272,0.16666666666666666,False
MMD-RBF,0.25,2.0,0.1,total,-1.9521847023205672,-2.842056733822489,-0.9452881546973759,0.16666666666666666,False
KS-max,0.25,2.0,0.1,total,-1.9248782436545782,-3.212627323576405,-0.2836858210352949,0.13333333333333333,False
JSD,0.25,2.0,0.1,total,-0.7070634756536068,-1.579221629274485,0.1588358733939432,0.36666666666666664,False
QK-MMD PauliXZ,0.25,2.0,0.1,total,0.2234695520139454,-0.6336738795809215,1.1340908909318193,0.5,False
Energy distance,0.5,0.0,0.0,total,1.06015625,0.41560546875000004,1.759388020833333,0.7,True
MMD-RBF,0.5,0.0,0.0,total,0.9588541666666667,0.3075260416666667,1.7523502604166667,0.6,True
KS-max,0.5,0.0,0.0,total,0.9109375,0.15207682291666666,1.9836458333333327,0.6333333333333333,True
JSD,0.5,0.0,0.0,total,0.6,-0.07475260416666665,1.50521484375,0.6333333333333333,False
QK-MMD PauliXZ,0.5,0.0,0.0,total,0.6518229166666667,-0.11198567708333333,1.615657552083333,0.5333333333333333,False
Energy distance,0.5,0.0,0.01,total,0.894370222069323,0.24869041356353952,1.5939146166550664,0.7,True
MMD-RBF,0.5,0.0,0.01,total,0.8310836131012765,0.17897064420999675,1.6240783612854914,0.5666666666666667,True
KS-max,0.5,0.0,0.01,total,0.7481892589678754,-0.010708502955221678,1.821260307179473,0.6,False
JSD,0.5,0.0,0.01,total,0.43346031910130606,-0.24146685338100735,1.339127305582782,0.6,False
QK-MMD PauliXZ,0.5,0.0,0.01,total,0.6631542468680613,-0.10051520281642934,1.627875229397007,0.5333333333333333,False
Energy distance,0.5,0.0,0.05,total,0.2312261103466153,-0.41652187808476926,0.9321466238763482,0.5,False
MMD-RBF,0.5,0.0,0.05,total,0.3200013988397161,-0.3311727286516156,1.1117787228016531,0.4666666666666667,False
KS-max,0.5,0.0,0.05,total,0.09719629483937738,-0.6588938095475897,1.1700769101713078,0.3,False
JSD,0.5,0.0,0.05,total,-0.2326984044934701,-0.9064554382409118,0.6737583194851222,0.3,False
QK-MMD PauliXZ,0.5,0.0,0.05,total,0.7084795676736396,-0.05711862643829482,1.6751262058105398,0.5666666666666667,False
Energy distance,0.5,0.0,0.1,total,-0.5977040293067692,-1.2498755937837027,0.1034089643457847,0.3,False
MMD-RBF,0.5,0.0,0.1,total,-0.3188513689872343,-0.9722228209819584,0.47200998334847577,0.4,False
KS-max,0.5,0.0,0.1,total,-0.716544910321245,-1.470024847153167,0.35500533551551977,0.16666666666666666,False
JSD,0.5,0.0,0.1,total,-1.0653968089869401,-1.7403281617167523,-0.1578066071686828,0.1,False
QK-MMD PauliXZ,0.5,0.0,0.1,total,0.765136218680612,-0.0017166158639013382,1.7358969428710793,0.5666666666666667,False
Energy distance,0.5,0.25,0.0,total,0.9684895833333333,0.33697916666666666,1.6526236979166664,0.6666666666666666,True
MMD-RBF,0.5,0.25,0.0,total,0.7838541666666666,0.14895833333333333,1.5724088541666665,0.6333333333333333,True
KS-max,0.5,0.25,0.0,total,0.7692708333333333,-0.013821614583333315,1.891946614583333,0.6,False
JSD,0.5,0.25,0.0,total,0.6583333333333333,0.006503906250000006,1.509134114583333,0.6333333333333333,True
QK-MMD PauliXZ,0.5,0.25,0.0,total,0.58515625,-0.1442903645833333,1.5093815104166666,0.4666666666666667,False
Energy distance,0.5,0.25,0.01,total,0.8027035554026564,0.17101599440940582,1.4876659811697999,0.6666666666666666,True
MMD-RBF,0.5,0.25,0.01,total,0.6560836131012766,0.021127700630202743,1.443949011381226,0.6,True
KS-max,0.5,0.25,0.01,total,0.6065225923012088,-0.175859935318464,1.7282635272956977,0.5333333333333333,False
JSD,0.5,0.25,0.01,total,0.49179365243463935,-0.16013296297963642,1.3425420388149203,0.5666666666666667,False
QK-MMD PauliXZ,0.5,0.25,0.01,total,0.5964875802013947,-0.1333092362517518,1.5210520654335176,0.4666666666666667,False
Energy distance,0.5,0.25,0.05,total,0.13955944367994863,-0.49447822779299677,0.827086960794268,0.43333333333333335,False
MMD-RBF,0.5,0.25,0.05,total,0.14500139883971613,-0.49066632786027903,0.9320527987913317,0.4,False
KS-max,0.5,0.25,0.05,total,-0.044470371827289294,-0.8266230132396837,1.0733543125277845,0.23333333333333334,False
JSD,0.5,0.25,0.05,total,-0.17436507116013678,-0.826956696683764,0.6761076670313777,0.36666666666666664,False
QK-MMD PauliXZ,0.5,0.25,0.05,total,0.6418129010069726,-0.08938472292542692,1.5679064009850598,0.4666666666666667,False
Energy distance,0.5,0.25,0.1,total,-0.6893706959734361,-1.3275363830178104,0.0007854383054947441,0.26666666666666666,False
MMD-RBF,0.5,0.25,0.1,total,-0.4938513689872343,-1.1293203652836674,0.2916396539120662,0.3,False
KS-max,0.5,0.25,0.1,total,-0.8582115769879117,-1.6381804940476437,0.25534668891384954,0.16666666666666666,False
JSD,0.5,0.25,0.1,total,-1.007063475653607,-1.6606370762111717,-0.15621100901870583,0.1,False
QK-MMD PauliXZ,0.5,0.25,0.1,total,0.6984695520139452,-0.03373783196942541,1.6263581220460361,0.5,False
Energy distance,0.5,0.5,0.0,total,0.8768229166666667,0.24085937500000001,1.5721679687499994,0.7333333333333333,True
MMD-RBF,0.5,0.5,0.0,total,0.6088541666666667,-0.02604817708333333,1.4031770833333326,0.5666666666666667,False
KS-max,0.5,0.5,0.0,total,0.6276041666666666,-0.19844401041666665,1.8252994791666661,0.43333333333333335,False
JSD,0.5,0.5,0.0,total,0.7166666666666667,0.07213541666666666,1.5265690104166667,0.6,True
QK-MMD PauliXZ,0.5,0.5,0.0,total,0.5184895833333333,-0.18542317708333333,1.4078190104166666,0.4666666666666667,False
Energy distance,0.5,0.5,0.01,total,0.7110368887359897,0.07401880029737452,1.4062772463252367,0.6666666666666666,True
MMD-RBF,0.5,0.5,0.01,total,0.48108361310127656,-0.15376862928206672,1.2756913741448022,0.5,False
KS-max,0.5,0.5,0.01,total,0.46485592563454214,-0.3608652455557942,1.661753094134203,0.43333333333333335,False
JSD,0.5,0.5,0.01,total,0.5501269857679726,-0.09414198377736603,1.3605519795072172,0.5666666666666667,False
QK-MMD PauliXZ,0.5,0.5,0.01,total,0.5298209135347278,-0.1736105286146239,1.4187679913254818,0.4666666666666667,False
Energy distance,0.5,0.5,0.05,total,0.047892777013282,-0.591280223088892,0.7443950871497024,0.36666666666666664,False
MMD-RBF,0.5,0.5,0.05,total,-0.029998601160283803,-0.6642397644414256,0.766419466347259,0.4,False
KS-max,0.5,0.5,0.05,total,-0.1861370384939559,-1.0096884034572047,1.007522386226143,0.23333333333333334,False
JSD,0.5,0.5,0.05,total,-0.11603173782680339,-0.759960675658086,0.6954644516153157,0.4,False
QK-MMD PauliXZ,0.5,0.5,0.05,total,0.575146234340306,-0.12971704067368908,1.4663269445516294,0.4666666666666667,False
Energy distance,0.5,0.5,0.1,total,-0.7810373626401028,-1.4210097111911748,-0.0841792725954633,0.2,False
MMD-RBF,0.5,0.5,0.1,total,-0.6688513689872343,-1.3029968644769687,0.12565000662133852,0.26666666666666666,False
KS-max,0.5,0.5,0.1,total,-0.9998782436545783,-1.8209404654289632,0.18821483131474795,0.13333333333333333,False
JSD,0.5,0.5,0.1,total,-0.9487301423202735,-1.5940066891088405,-0.1366576425652411,0.2,False
QK-MMD PauliXZ,0.5,0.5,0.1,total,0.6318028853472786,-0.07608996208157641,1.5243765506036082,0.5,False
Energy distance,0.5,1.0,0.0,total,0.6934895833333333,0.011197916666666667,1.4265950520833328,0.6,True
MMD-RBF,0.5,1.0,0.0,total,0.25885416666666666,-0.42240234375,1.0961067708333332,0.5,False
KS-max,0.5,1.0,0.0,total,0.34427083333333336,-0.6067838541666667,1.656263020833333,0.4,False
JSD,0.5,1.0,0.0,total,0.8333333333333334,0.14999348958333333,1.594544270833333,0.6666666666666666,True
QK-MMD PauliXZ,0.5,1.0,0.0,total,0.38515625,-0.31694661458333334,1.2380468749999995,0.5,False
Energy distance,0.5,1.0,0.01,total,0.5277035554026566,-0.15483348541350955,1.2611205975483477,0.6,False
MMD-RBF,0.5,1.0,0.01,total,0.13108361310127659,-0.5498554138821403,0.968157291879916,0.4666666666666667,False
KS-max,0.5,1.0,0.01,total,0.1815225923012088,-0.7690648415956766,1.4930210376996147,0.36666666666666664,False
JSD,0.5,1.0,0.01,total,0.6667936524346395,-0.01640983759178381,1.4285439632880153,0.6333333333333333,False
QK-MMD PauliXZ,0.5,1.0,0.01,total,0.39648758020139463,-0.30633502749620034,1.2488152024651669,0.5,False
Energy distance,0.5,1.0,0.05,total,-0.13544055632005125,-0.8208430047538229,0.599110162236267,0.4,False
MMD-RBF,0.5,1.0,0.05,total,-0.3799986011602837,-1.058968388554766,0.4546745571699473,0.4,False
KS-max,0.5,1.0,0.05,total,-0.46947037182728907,-1.4168327292000518,0.8404169524573563,0.2,False
JSD,0.5,1.0,0.05,total,0.0006349288398633135,-0.6818383843627039,0.7631585382858121,0.4,False
QK-MMD PauliXZ,0.5,1.0,0.05,total,0.4418129010069728,-0.26180695920698044,1.2924235730101146,0.5,False
Energy distance,0.5,1.0,0.1,total,-0.9643706959734359,-1.6510964214775206,-0.23082773122109,0.2,False
MMD-RBF,0.5,1.0,0.1,total,-1.0188513689872343,-1.6945645563467597,-0.1882210500129536,0.16666666666666666,False
KS-max,0.5,1.0,0.1,total,-1.2832115769879116,-2.2288842438639738,0.024583904914712944,0.16666666666666666,False
JSD,0.5,1.0,0.1,total,-0.8320634756536068,-1.5146421899551157,-0.06659452758013511,0.3,False
QK-MMD PauliXZ,0.5,1.0,0.1,total,0.4984695520139452,-0.20757691735012732,1.352681065701403,0.5333333333333333,False
Energy distance,0.5,2.0,0.0,total,0.3268229166666667,-0.5588541666666667,1.2671940104166666,0.5666666666666667,False
MMD-RBF,0.5,2.0,0.0,total,-0.44114583333333335,-1.3200520833333333,0.5518424479166665,0.3333333333333333,False
KS-max,0.5,2.0,0.0,total,-0.22239583333333332,-1.5010677083333333,1.39974609375,0.36666666666666664,False
JSD,0.5,2.0,0.0,total,1.0666666666666667,0.18539062500000003,1.9369856770833334,0.7,True
QK-MMD PauliXZ,0.5,2.0,0.0,total,0.11848958333333333,-0.73595703125,1.0250195312499997,0.5333333333333333,False
Energy distance,0.5,2.0,0.01,total,0.16103688873598979,-0.7240601659518945,1.1009823961192062,0.5333333333333333,False
MMD-RBF,0.5,2.0,0.01,total,-0.5689163868987234,-1.4473011057026182,0.4239683316809804,0.3,False
KS-max,0.5,2.0,0.01,total,-0.38514407436545794,-1.6631507831089658,1.235873931187119,0.36666666666666664,False
JSD,0.5,2.0,0.01,total,0.9001269857679726,0.019499610229497213,1.770531184339069,0.6666666666666666,True
QK-MMD PauliXZ,0.5,2.0,0.01,total,0.1298209135347279,-0.7239554321580373,1.0371579078707303,0.5333333333333333,False
Energy distance,0.5,2.0,0.05,total,-0.5021072229867178,-1.389347382331752,0.4395107029715825,0.3333333333333333,False
MMD-RBF,0.5,2.0,0.05,total,-1.0799986011602838,-1.954635512100731,-0.08821938818219752,0.26666666666666666,False
KS-max,0.5,2.0,0.05,total,-1.0361370384939559,-2.3109651851945863,0.5806581426937231,0.2,False
JSD,0.5,2.0,0.05,total,0.23396826217319658,-0.6434182797754231,1.1044258554994255,0.5,False
QK-MMD PauliXZ,0.5,2.0,0.05,total,0.17514623434030613,-0.6794308245964445,1.0844561517911344,0.5333333333333333,False
Energy distance,0.5,2.0,0.1,total,-1.3310373626401024,-2.2199165628046518,-0.3887467203347092,0.2,False
MMD-RBF,0.5,2.0,0.1,total,-1.7188513689872338,-2.5896720139999525,-0.7288484155713134,0.2,False
KS-max,0.5,2.0,0.1,total,-1.8498782436545782,-3.119174406023347,-0.23314965605779414,0.13333333333333333,False
JSD,0.5,2.0,0.1,total,-0.5987301423202734,-1.4751036176784256,0.27302088338123087,0.4,False
QK-MMD PauliXZ,0.5,2.0,0.1,total,0.23180288534727878,-0.622588509945063,1.141510141573904,0.5333333333333333,False
Energy distance,1.0,0.0,0.0,total,2.11015625,1.3505143229166667,2.8846484375,0.9,True
MMD-RBF,1.0,0.0,0.0,total,1.4255208333333333,0.746328125,2.21927734375,0.8,True
KS-max,1.0,0.0,0.0,total,1.0609375,0.31640625,2.0948046875,0.7,True
JSD,1.0,0.0,0.0,total,0.8166666666666667,0.09504557291666667,1.76875,0.7,True
QK-MMD PauliXZ,1.0,0.0,0.0,total,0.6684895833333333,-0.11304036458333332,1.6429817708333332,0.5666666666666667,False
Energy distance,1.0,0.0,0.01,total,1.944370222069323,1.1842728668755977,2.7194320257759617,0.8666666666666667,True
MMD-RBF,1.0,0.0,0.01,total,1.2977502797679432,0.6174846230159637,2.091272739679994,0.7666666666666667,True
KS-max,1.0,0.0,0.01,total,0.8981892589678754,0.1542848940365124,1.9308540914936836,0.6666666666666666,True
JSD,1.0,0.0,0.01,total,0.6501269857679726,-0.07203144169169347,1.602873439280853,0.6666666666666666,False
QK-MMD PauliXZ,1.0,0.0,0.01,total,0.679820913534728,-0.10295629216818755,1.6547152370708642,0.5666666666666667,False
Energy distance,1.0,0.0,0.05,total,1.2812261103466152,0.5194051794206024,2.0599447212391437,0.7666666666666667,True
MMD-RBF,1.0,0.0,0.05,total,0.7866680655063829,0.10636740644471133,1.5791275823116246,0.6,True
KS-max,1.0,0.0,0.05,total,0.24719629483937744,-0.4967122235921367,1.2753520546745172,0.43333333333333335,False
JSD,1.0,0.0,0.05,total,-0.0160317378268035,-0.7376431306784703,0.9356146783436561,0.4,False
QK-MMD PauliXZ,1.0,0.0,0.05,total,0.7251462343403061,-0.06125670348372194,1.7018258015249639,0.6,False
Energy distance,1.0,0.0,0.1,total,0.4522959706932307,-0.31445156138531954,1.2305561081418805,0.5333333333333333,False
MMD-RBF,1.0,0.0,0.1,total,0.14781529767943244,-0.530615981418465,0.939044747550933,0.4666666666666667,False
KS-max,1.0,0.0,0.1,total,-0.5665449103212448,-1.3089193902835636,0.4604945168659033,0.2,False
JSD,1.0,0.0,0.1,total,-0.8487301423202734,-1.5703281143736292,0.10585940534680616,0.1,False
QK-MMD PauliXZ,1.0,0.0,0.1,total,0.7818028853472786,-0.005121452505778116,1.7611506028255388,0.6,False
Energy distance,1.0,0.25,0.0,total,2.0184895833333334,1.2749869791666666,2.782037760416667,0.9,True
MMD-RBF,1.0,0.25,0.0,total,1.2505208333333333,0.5864518229166666,2.034680989583333,0.8,True
KS-max,1.0,0.25,0.0,total,0.9192708333333334,0.15205729166666668,1.9976757812499997,0.6666666666666666,True
JSD,1.0,0.25,0.0,total,0.875,0.17290364583333334,1.7692708333333333,0.7,True
QK-MMD PauliXZ,1.0,0.25,0.0,total,0.6018229166666667,-0.14897135416666665,1.5403645833333333,0.4666666666666667,False
Energy distance,1.0,0.25,0.01,total,1.8527035554026563,1.1085613398441756,2.616521859788368,0.8333333333333334,True
MMD-RBF,1.0,0.25,0.01,total,1.1227502797679432,0.4587656800765894,1.9066693774344394,0.7666666666666667,True
KS-max,1.0,0.25,0.01,total,0.7565225923012088,-0.010460720341687622,1.8341410666434925,0.6666666666666666,False
JSD,1.0,0.25,0.01,total,0.7084603191013058,0.006407812104279886,1.6030047113970718,0.6666666666666666,True
QK-MMD PauliXZ,1.0,0.25,0.01,total,0.6131542468680613,-0.1387364902283161,1.5517672679353505,0.4666666666666667,False
Energy distance,1.0,0.25,0.05,total,1.1895594436799486,0.44264527604531045,1.9528114003066972,0.8,True
MMD-RBF,1.0,0.25,0.05,total,0.6116680655063829,-0.05256296579063437,1.397513479834442,0.5666666666666667,False
KS-max,1.0,0.25,0.05,total,0.10552962817271082,-0.6610452485775413,1.1793591752044932,0.26666666666666666,False
JSD,1.0,0.25,0.05,total,0.042301595506529864,-0.6576637457974962,0.9379267211817786,0.4,False
QK-MMD PauliXZ,1.0,0.25,0.05,total,0.6584795676736395,-0.09428719061101827,1.5972477980100852,0.4666666666666667,False
Energy distance,1.0,0.25,0.1,total,0.3606293040265639,-0.38873237063607674,1.1274221442455503,0.5,False
MMD-RBF,1.0,0.25,0.1,total,-0.027184702320567546,-0.6917046284911242,0.7525101673752942,0.43333333333333335,False
KS-max,1.0,0.25,0.1,total,-0.7082115769879117,-1.4735023922661008,0.36416057628251525,0.2,False
JSD,1.0,0.25,0.1,total,-0.7903968089869403,-1.4896346682599881,0.10657609861355721,0.16666666666666666,False
QK-MMD PauliXZ,1.0,0.25,0.1,total,0.715136218680612,-0.03894454899007306,1.6566180412246023,0.5,False
Energy distance,1.0,0.5,0.0,total,1.9268229166666666,1.17447265625,2.6898502604166667,0.8666666666666667,True
MMD-RBF,1.0,0.5,0.0,total,1.0755208333333333,0.4239583333333333,1.863294270833333,0.7,True
KS-max,1.0,0.5,0.0,total,0.7776041666666667,-0.031022135416666638,1.9211914062499986,0.6,False
JSD,1.0,0.5,0.0,total,0.9333333333333333,0.2372135416666667,1.7849088541666664,0.7,True
QK-MMD PauliXZ,1.0,0.5,0.0,total,0.53515625,-0.18831380208333331,1.4309895833333333,0.4666666666666667,False
Energy distance,1.0,0.5,0.01,total,1.7610368887359897,1.007733241632063,2.5250441081526476,0.8333333333333334,True
MMD-RBF,1.0,0.5,0.01,total,0.9477502797679431,0.29662817142674164,1.7340672966025108,0.6666666666666666,True
KS-max,1.0,0.5,0.01,total,0.614855925634542,-0.1932383539586648,1.7573924675745434,0.5666666666666667,False
JSD,1.0,0.5,0.01,total,0.7667936524346392,0.07086189738155221,1.6182970408690178,0.6666666666666666,True
QK-MMD PauliXZ,1.0,0.5,0.01,total,0.5464875802013947,-0.1768959948349229,1.4427717294148914,0.4666666666666667,False
Energy distance,1.0,0.5,0.05,total,1.097892777013282,0.3415116473857633,1.8650336556694915,0.7666666666666667,True
MMD-RBF,1.0,0.5,0.05,total,0.4366680655063828,-0.214739075956968,1.224113454002921,0.5,False
KS-max,1.0,0.5,0.05,total,-0.03613703849395581,-0.8440661245632267,1.103309889615706,0.26666666666666666,False
JSD,1.0,0.5,0.05,total,0.10063492883986319,-0.5932953411725905,0.9522721989269243,0.43333333333333335,False
QK-MMD PauliXZ,1.0,0.5,0.05,total,0.5918129010069728,-0.13164769310166116,1.4908362944150184,0.4666666666666667,False
Energy distance,1.0,0.5,0.1,total,0.2689626373598973,-0.4884372581601882,1.0376350704584425,0.4666666666666667,False
MMD-RBF,1.0,0.5,0.1,total,-0.2021847023205675,-0.8556714201283562,0.5824380603620178,0.3333333333333333,False
KS-max,1.0,0.5,0.1,total,-0.8498782436545783,-1.6545755684437073,0.28884787343119345,0.2,False
JSD,1.0,0.5,0.1,total,-0.7320634756536067,-1.4268694204488712,0.1199032952789081,0.26666666666666666,False
QK-MMD PauliXZ,1.0,0.5,0.1,total,0.6484695520139453,-0.07573806669202175,1.5492122416969014,0.5,False
Energy distance,1.0,1.0,0.0,total,1.7434895833333333,0.9538736979166667,2.55,0.7666666666666667,True
MMD-RBF,1.0,1.0,0.0,total,0.7255208333333333,0.047636718750000015,1.5552864583333321,0.6,True
KS-max,1.0,1.0,0.0,total,0.4942708333333333,-0.43151692708333333,1.7516406249999987,0.43333333333333335,False
JSD,1.0,1.0,0.0,total,1.05,0.32837239583333333,1.8515950520833329,0.7333333333333333,True
QK-MMD PauliXZ,1.0,1.0,0.0,total,0.40182291666666664,-0.3164192708333333,1.262259114583333,0.4666666666666667,False
Energy distance,1.0,1.0,0.01,total,1.5777035554026564,0.7873618941198879,2.384202439158353,0.7333333333333333,True
MMD-RBF,1.0,1.0,0.01,total,0.5977502797679431,-0.07880174777473943,1.4260437954623277,0.5666666666666667,False
KS-max,1.0,1.0,0.01,total,0.33152259230120873,-0.5935088473325063,1.5879919934210827,0.4,False
JSD,1.0,1.0,0.01,total,0.8834603191013058,0.16127681595488844,1.6849711745557767,0.7,True
QK-MMD PauliXZ,1.0,1.0,0.01,total,0.4131542468680612,-0.3056195905027854,1.2744952428390233,0.4666666666666667,False
Energy distance,1.0,1.0,0.05,total,0.9145594436799487,0.12286631117772294,1.721031722265533,0.7,True
MMD-RBF,1.0,1.0,0.05,total,0.08666806550638283,-0.5889965814732278,0.9138795381711726,0.4666666666666667,False
KS-max,1.0,1.0,0.05,total,-0.31947037182728916,-1.2428099444208736,0.936596568758783,0.23333333333333334,False
JSD,1.0,1.0,0.05,total,0.2173015955065299,-0.5035152880862637,1.0184905679250074,0.43333333333333335,False
QK-MMD PauliXZ,1.0,1.0,0.05,total,0.45847956767363934,-0.2603994236932,1.3227312361636236,0.4666666666666667,False
Energy distance,1.0,1.0,0.1,total,0.085629304026564,-0.7058150692942148,0.8942099978508773,0.4666666666666667,False
MMD-RBF,1.0,1.0,0.1,total,-0.5521847023205677,-1.2242401506822886,0.272000454623291,0.3,False
KS-max,1.0,1.0,0.1,total,-1.1332115769879114,-2.0522751022260057,0.1196234983095008,0.2,False
