method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
qk_mmd_zz,QK-MMD ZZ,30,11.22265625,0.1,0.25,0.0,total
energy_distance,Energy distance,30,11.092980272331625,0.1,0.25,0.01,total
jsd,JSD,30,10.737223508632974,0.1,0.25,0.01,total
ks_max,KS-max,30,10.56916123543307,0.1,0.25,0.01,total
mmd_rbf,MMD-RBF,30,10.772933547966337,0.1,0.25,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.472529580866219,0.1,0.25,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,11.05568382773428,0.1,0.25,0.01,total
energy_distance,Energy distance,30,11.088234694991455,0.1,0.25,0.05,total
jsd,JSD,30,10.735492543164872,0.1,0.25,0.05,total
ks_max,KS-max,30,10.552264510498693,0.1,0.25,0.05,total
mmd_rbf,MMD-RBF,30,10.61612607316502,0.1,0.25,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.759314570997763,0.1,0.25,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,10.387794138671403,0.1,0.25,0.05,total
energy_distance,Energy distance,30,11.082302723316243,0.1,0.25,0.1,total
jsd,JSD,30,10.733328836329747,0.1,0.25,0.1,total
ks_max,KS-max,30,10.531143604330717,0.1,0.25,0.1,total
mmd_rbf,MMD-RBF,30,10.420116729663373,0.1,0.25,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.867795808662196,0.1,0.25,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,9.552932027342807,0.1,0.25,0.1,total
energy_distance,Energy distance,30,10.835833333333333,0.1,0.5,0.0,total
jsd,JSD,30,10.329322916666666,0.1,0.5,0.0,total
ks_max,KS-max,30,10.365052083333332,0.1,0.5,0.0,total
mmd_rbf,MMD-RBF,30,10.637135416666666,0.1,0.5,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.3675,0.1,0.5,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.87265625,0.1,0.5,0.0,total
energy_distance,Energy distance,30,10.834646938998292,0.1,0.5,0.01,total
jsd,JSD,30,10.328890175299641,0.1,0.5,0.01,total
ks_max,KS-max,30,10.360827902099738,0.1,0.5,0.01,total
mmd_rbf,MMD-RBF,30,10.597933547966337,0.1,0.5,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.189196247532886,0.1,0.5,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.70568382773428,0.1,0.5,0.01,total
energy_distance,Energy distance,30,10.829901361658122,0.1,0.5,0.05,total
jsd,JSD,30,10.327159209831539,0.1,0.5,0.05,total
ks_max,KS-max,30,10.34393117716536,0.1,0.5,0.05,total
mmd_rbf,MMD-RBF,30,10.44112607316502,0.1,0.5,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.47598123766443,0.1,0.5,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,10.037794138671403,0.1,0.5,0.05,total
energy_distance,Energy distance,30,10.82396938998291,0.1,0.5,0.1,total
jsd,JSD,30,10.324995502996414,0.1,0.5,0.1,total
ks_max,KS-max,30,10.322810270997385,0.1,0.5,0.1,total
mmd_rbf,MMD-RBF,30,10.245116729663374,0.1,0.5,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.58446247532886,0.1,0.5,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,9.202932027342806,0.1,0.5,0.1,total
energy_distance,Energy distance,30,10.319166666666666,0.1,1.0,0.0,total
jsd,JSD,30,9.51265625,0.1,1.0,0.0,total
ks_max,KS-max,30,9.948385416666666,0.1,1.0,0.0,total
mmd_rbf,MMD-RBF,30,10.287135416666667,0.1,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.800833333333333,0.1,1.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.17265625,0.1,1.0,0.0,total
energy_distance,Energy distance,30,10.317980272331624,0.1,1.0,0.01,total
jsd,JSD,30,9.512223508632975,0.1,1.0,0.01,total
ks_max,KS-max,30,9.944161235433073,0.1,1.0,0.01,total
mmd_rbf,MMD-RBF,30,10.247933547966337,0.1,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.62252958086622,0.1,1.0,0.01,total
