scenario,policy,transformer_policy,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_candidate,n_resolved_proposals,n_commits_logged,mean_delta_res1,harmful_commits_h1,censored_h1,mean_delta_res3,harmful_commits_h3,censored_h3,mean_delta_res5,harmful_commits_h5,censored_h5,mean_delta_res10,harmful_commits_h10,censored_h10
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3022,0.943359375,0.9462134258693815,0.97765625,0.0909375,4,4,4,0,0,0,4096,4.0,4.0,0.0,2.0,0.0,0.001953125,2.0,0.0,0.005078124999999999,2.0,0.0,0.0115234375,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3023,0.95671875,0.9579658107144455,0.97953125,0.06609375,3,3,3,0,0,0,3072,3.0,3.0,-0.005208333333333333,2.0,0.0,0.002604166666666666,1.0,0.0,-0.0010416666666666335,1.0,0.0,0.002343749999999933,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3024,0.945,0.9474027637670546,0.9809375,0.0909375,3,3,3,0,0,0,3072,3.0,3.0,-0.013020833333333334,2.0,0.0,-0.005208333333333301,2.0,0.0,-0.0067708333333333336,1.0,0.0,-0.008072916666666667,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3025,0.9396875,0.9422714164691981,0.97265625,0.09328125,3,3,3,0,0,0,3072,3.0,3.0,-0.036458333333333336,2.0,0.0,-0.025173611111111133,2.0,0.0,-0.02604166666666666,2.0,0.0,-0.014583333333333332,2.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3026,0.941328125,0.9444289335112933,0.9865625,0.10390625,4,4,4,0,0,0,4096,4.0,4.0,0.009765625,1.0,0.0,0.009114583333333374,2.0,0.0,0.008984375000000025,2.0,0.0,0.01171875000000005,2.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3027,0.945234375,0.9492482873770827,0.9953125,0.10484375,3,3,3,0,0,0,3072,3.0,3.0,0.0390625,0.0,0.0,0.0512152777777777,0.0,0.0,0.04322916666666667,0.0,0.0,0.04322916666666666,0.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3028,0.949765625,0.95076889757087,0.97171875,0.0721875,4,4,4,0,0,0,4096,4.0,4.0,0.037109375,0.0,0.0,0.025390624999999976,1.0,0.0,0.023828125000000026,1.0,0.0,0.025390624999999948,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3029,0.940625,0.9414188902486497,0.9565625,0.0753125,3,3,3,0,0,0,3072,3.0,3.0,0.0078125,1.0,0.0,0.013888888888888867,1.0,0.0,0.018229166666666633,1.0,0.0,0.016145833333333266,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3030,0.937578125,0.9403262574752306,0.9696875,0.09453125,4,4,4,0,0,0,4096,4.0,4.0,0.013671875,1.0,0.0,0.011718749999999951,1.0,0.0,0.016796875000000003,1.0,0.0,0.017187499999999925,0.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3001,0.949921875,0.9521417263041835,0.98984375,0.09,3,3,3,0,96,96,3072,3.0,3.0,0.005208333333333333,1.0,0.0,0.009548611111111133,1.0,0.0,0.010416666666666699,1.0,0.0,0.005989583333333333,1.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3002,0.949921875,0.9521166107862018,0.989375,0.08953125,4,4,2,2,128,128,4096,4.0,2.0,-0.0078125,1.0,0.0,-0.0026041666666666,1.0,0.0,-5.0306980803327406e-17,1.0,0.0,-0.0011718750000000002,1.0,0.0
