scenario,policy,transformer_policy,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,candidates_mean,commits_mean,rejects_mean,labels_probe_mean,labels_candidate_mean
ton_zero,point,own_transformer_per_model,0.9230286458333333,0.004841389308171707,0.9343958333333333,0.08833854166666667,0.9239511434569131,3.466666666666667,3.466666666666667,2.7666666666666666,0.7,110.93333333333334,3549.866666666667
ton_zero,strict,frozen_initial_transformer,0.9257265625,0.0026302247815861864,0.937921875,0.08646875000000001,0.9266701918644299,3.466666666666667,3.466666666666667,0.13333333333333333,3.3333333333333335,110.93333333333334,3549.866666666667
ton_zero,strict,own_transformer_per_model,0.9253020833333333,0.002782310231533677,0.9367239583333333,0.08611979166666667,0.9261869707005322,3.466666666666667,3.466666666666667,0.16666666666666666,3.3,110.93333333333334,3549.866666666667
unsw_full,naive,frozen_initial_transformer,0.8442291666666667,0.0058393419510845155,0.95503125,0.26657291666666666,0.8604090469868453,2.8,2.8,2.8,0.0,0.0,2867.2
unsw_full,naive,own_transformer_per_model,0.8557473958333334,0.0045737216660311384,0.9589947916666667,0.2475,0.869846906292069,2.8,2.8,2.8,0.0,0.0,2867.2
unsw_full,never,n/a,0.8302864583333334,0.006051374174527903,,,0.8525531127440779,0.0,0.0,0.0,0.0,0.0,0.0
unsw_full,point,frozen_initial_transformer,0.8441822916666666,0.006264118392759318,0.9566354166666666,0.26827083333333335,0.8605934135685758,3.1,3.1,2.533333333333333,0.5666666666666667,99.2,3174.4
unsw_full,point,own_transformer_per_model,0.8536692708333333,0.005270757154607705,0.962125,0.25478645833333335,0.8686168813033245,3.1333333333333333,3.1333333333333333,2.3,0.8333333333333334,100.26666666666667,3208.5333333333333
unsw_full,strict,frozen_initial_transformer,0.8438802083333333,0.005534599446940551,0.957859375,0.27009895833333336,0.8605177223380469,4.066666666666666,4.066666666666666,1.9,2.1666666666666665,130.13333333333333,4164.266666666666
unsw_full,strict,own_transformer_per_model,0.8542838541666666,0.005349417057255925,0.9622447916666667,0.25367708333333333,0.869159693477745,3.9,3.9,1.9333333333333333,1.9666666666666666,124.8,3993.6
unsw_zero,naive,frozen_initial_transformer,0.8840989583333333,0.003990773752504437,0.9690572916666667,0.20085937499999998,0.8935548504073694,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
unsw_zero,naive,own_transformer_per_model,0.884375,0.003954923052648517,0.9675208333333334,0.1987708333333333,0.8936204016023,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
unsw_zero,never,n/a,0.890921875,0.0033990428142054428,,,0.8980286996701669,0.0,0.0,0.0,0.0,0.0,0.0
unsw_zero,point,frozen_initial_transformer,0.8862265625,0.004084208721023685,0.9634895833333332,0.19103645833333335,0.8947355080300263,3.466666666666667,3.466666666666667,2.1,1.3666666666666667,110.93333333333334,3549.866666666667
unsw_zero,point,own_transformer_per_model,0.8862552083333333,0.004405868497587293,0.961234375,0.18872395833333336,0.8945135835088347,3.466666666666667,3.466666666666667,2.1333333333333333,1.3333333333333333,110.93333333333334,3549.866666666667
unsw_zero,strict,frozen_initial_transformer,0.8884687499999999,0.0047767456103583765,0.9608802083333334,0.18394270833333334,0.8963154473198662,3.466666666666667,3.466666666666667,0.6333333333333333,2.8333333333333335,110.93333333333334,3549.866666666667
unsw_zero,strict,own_transformer_per_model,0.8894401041666666,0.003967360526127029,0.9576354166666667,0.17875520833333333,0.89677415472412,3.466666666666667,3.466666666666667,0.6666666666666666,2.8,110.93333333333334,3549.866666666667
