scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,commits_mean,rejects_mean,labels_probe_mean,labels_monitor_mean,labels_candidate_mean
ton_full,never,n/a,0.8139661458333334,0.06680137167050115,,,0.8218634190336315,0.0,0.0,0.0,0.0,0.0,0.0
ton_full,point,2000,0.8441119791666666,0.009513667434371115,0.9685104166666666,0.2802864583333333,0.8613996896414922,2.2,2.1,0.1,70.4,0.0,8800.0
ton_full,point,512,0.8420755208333334,0.011420148360675161,0.9662083333333332,0.28205729166666665,0.8597040396049065,2.6333333333333333,2.033333333333333,0.6,84.26666666666667,0.0,2696.5333333333333
ton_full,replay,2000,0.8424557291666667,0.009040542740402167,0.9685677083333334,0.28365625,0.8600693350605919,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,8666.666666666666
ton_full,strict,2000,0.8460468750000001,0.011464659140740413,0.9684062499999999,0.2763125,0.8630868175826204,5.1,0.8666666666666667,4.233333333333333,163.2,0.0,20400.0
ton_full,strict,512,0.8454427083333333,0.015249479047360143,0.9645677083333334,0.2736822916666667,0.8621167730506784,5.4,0.7333333333333333,4.666666666666667,172.8,0.0,5529.6
ton_zero,adwin,2000,0.8385729166666667,0.009042294409190143,0.9574739583333333,0.280328125,0.8561827092678981,0.0,0.0,0.0,0.0,800.0,0.0
ton_zero,atc,2000,0.8380286458333334,0.00407980210456027,0.9603229166666666,0.28426562499999997,0.8560895510938458,3.5,1.6333333333333333,1.8666666666666667,0.0,0.0,14000.0
ton_zero,atc,512,0.8376770833333332,0.004331047176837065,0.960453125,0.2850989583333333,0.8558429696143783,3.5,1.5,2.0,0.0,0.0,3584.0
ton_zero,ddm,2000,0.8412838541666667,0.012628159735063186,0.9555625,0.2729947916666667,0.8581375353601877,1.2,1.2,0.0,0.0,800.0,4800.0
ton_zero,doc,2000,0.8383645833333334,0.004176176736826745,0.9612812500000001,0.28455208333333337,0.8564763663177629,3.5,1.0,2.5,0.0,0.0,14000.0
ton_zero,doc,512,0.8380286458333334,0.004196625581797457,0.9610625,0.28500520833333337,0.8561943624101701,3.5,0.8666666666666667,2.6333333333333333,0.0,0.0,3584.0
ton_zero,enscal,2000,0.8384947916666667,0.0035563631857833612,0.9632395833333334,0.28625,0.8568340255902055,3.5,3.5,0.0,0.0,0.0,14000.0
ton_zero,enscal,512,0.8371145833333333,0.004202000861829544,0.9625677083333334,0.28833854166666667,0.8557144333584709,3.5,3.5,0.0,0.0,0.0,3584.0
ton_zero,naive,2000,0.8385963541666667,0.007093667024585615,0.9548906250000001,0.27769791666666666,0.8558856004025018,3.5,3.5,0.0,0.0,0.0,14000.0
ton_zero,naive,512,0.8407135416666667,0.009717515837112889,0.952796875,0.27136979166666664,0.8573481351181013,3.5,3.5,0.0,0.0,0.0,3584.0
ton_zero,never,n/a,0.8385729166666667,0.009042294409190143,,,0.8561827092678981,0.0,0.0,0.0,0.0,0.0,0.0
ton_zero,point,2000,0.8390546874999999,0.006657523187992146,0.9560416666666666,0.27793229166666666,0.8563909972604501,3.5,3.1333333333333333,0.36666666666666664,112.0,0.0,14000.0
ton_zero,point,512,0.8390755208333334,0.008519642344987978,0.9555416666666667,0.277390625,0.8563847871852734,3.5,2.9,0.6,112.0,0.0,3584.0
ton_zero,replay,2000,0.8394166666666667,0.007959995966383526,0.9564427083333332,0.277609375,0.8567390927253026,3.5,3.5,0.0,0.0,0.0,14000.0
ton_zero,strict,2000,0.8392109375000001,0.00839918237975802,0.9590208333333333,0.2805989583333333,0.8568784448013623,3.5,0.1,3.4,112.0,0.0,14000.0
ton_zero,strict,512,0.8391979166666667,0.009130475164695303,0.9577604166666667,0.2793645833333333,0.8567186925588364,3.5,0.13333333333333333,3.3666666666666667,112.0,0.0,3584.0
unsw_full,adwin,2000,0.8122317708333333,0.008934837742631862,0.9848072916666666,0.36034375,0.8413038355941024,0.0,0.0,0.0,0.0,800.0,0.0
