regime,dataset,seed,best_detector,base_BA_pct,gain_pts
UNSW-NB15 Reconnaissance,unsw,21,qk_mmd_zz,83.9766,0.7188
UNSW-NB15 Reconnaissance,unsw,22,qk_mmd_zz,83.8438,0.7734
UNSW-NB15 Reconnaissance,unsw,23,qk_mmd_zz,84.0938,1.2656
UNSW-NB15 Reconnaissance,unsw,24,qk_mmd_zz,85.1562,-0.6953
UNSW-NB15 Reconnaissance,unsw,25,qk_mmd_zz,84.0938,0.6797
UNSW-NB15 Reconnaissance,unsw,26,qk_mmd_zz,83.8828,1.3281
UNSW-NB15 Reconnaissance,unsw,27,qk_mmd_zz,83.8594,0.9141
UNSW-NB15 Reconnaissance,unsw,28,qk_mmd_zz,84.6641,-0.5078
UNSW-NB15 Reconnaissance,unsw,29,qk_mmd_zz,83.7266,1.3125
UNSW-NB15 Reconnaissance,unsw,30,qk_mmd_zz,84.5391,0.4141
ToN-IoT Scanning,ton_iot,1,energy_distance,92.7422,0.4375
ToN-IoT Scanning,ton_iot,2,energy_distance,92.4844,-4.3984
ToN-IoT Scanning,ton_iot,3,energy_distance,92.0703,-3.5859
ToN-IoT Scanning,ton_iot,4,energy_distance,91.8359,-1.25
ToN-IoT Scanning,ton_iot,5,energy_distance,91.9453,0.0078
ToN-IoT Scanning,ton_iot,6,energy_distance,91.7891,1.5078
ToN-IoT Scanning,ton_iot,7,energy_distance,91.9141,-2.2969
ToN-IoT Scanning,ton_iot,8,energy_distance,91.0547,1.2969
ToN-IoT Scanning,ton_iot,9,energy_distance,92.6875,-4.7734
ToN-IoT Scanning,ton_iot,10,energy_distance,91.6016,0.2656
ToN-IoT Scanning,ton_iot,11,energy_distance,92.9062,0.2188
ToN-IoT Scanning,ton_iot,12,energy_distance,93.4219,-0.1172
ToN-IoT Scanning,ton_iot,13,energy_distance,93.0312,0.3437
ToN-IoT Scanning,ton_iot,14,energy_distance,92.1719,-3.4375
ToN-IoT Scanning,ton_iot,15,energy_distance,92.1719,0.4922
ToN-IoT Scanning,ton_iot,16,energy_distance,92.2266,0.5078
ToN-IoT Scanning,ton_iot,17,energy_distance,92.2578,0.125
ToN-IoT Scanning,ton_iot,18,energy_distance,92.5625,-3.8359
ToN-IoT Scanning,ton_iot,19,energy_distance,88.9375,3.5
ToN-IoT Scanning,ton_iot,20,energy_distance,91.2969,0.4766
ToN-IoT Scanning,ton_iot,21,energy_distance,91.9688,-1.125
ToN-IoT Scanning,ton_iot,22,energy_distance,91.8828,-0.7734
ToN-IoT Scanning,ton_iot,23,energy_distance,92.6484,0.5703
ToN-IoT Scanning,ton_iot,24,energy_distance,92.7734,-0.0781
ToN-IoT Scanning,ton_iot,25,energy_distance,92.7969,0.0859
ToN-IoT Scanning,ton_iot,26,energy_distance,92.6484,0.6563
ToN-IoT Scanning,ton_iot,27,energy_distance,92.7109,0.3047
ToN-IoT Scanning,ton_iot,28,energy_distance,92.6016,0.4609
ToN-IoT Scanning,ton_iot,29,energy_distance,93.4688,-1.2578
ToN-IoT Scanning,ton_iot,30,energy_distance,92.8984,0.2031
