source,tier,path,method,method_label,n_seeds,mean_balanced_accuracy,gain_vs_noadapt,error_area,n_adaptations,detector_runtime
paper2_progressive_readaptation_final_001,final,results\raw\paper2_progressive_readaptation_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8773307291666667,14.985677083333334,12.266927083333334,3.4,6.365957570227328
paper2_progressive_readaptation_final_001,final,results\raw\paper2_progressive_readaptation_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.8812630208333334,15.37890625,11.873697916666666,3.433333333333333,5.983863109889596
paper2_progressive_readaptation_final_002,final,results\raw\paper2_progressive_readaptation_final_002\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.87421875,14.674479166666666,12.578125,4.433333333333334,1.8574276399876304
paper2_progressive_readaptation_final_002,final,results\raw\paper2_progressive_readaptation_final_002\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.7274739583333333,0.0,27.252604166666668,0.0,0.0
paper2_progressive_readaptation_final_002,final,results\raw\paper2_progressive_readaptation_final_002\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8780625000000001,15.058854166666666,12.19375,3.333333333333333,6.410876743274275
paper2_progressive_readaptation_final_002,final,results\raw\paper2_progressive_readaptation_final_002\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.8802968750000001,15.282291666666667,11.9703125,3.333333333333333,5.986701793394362
paper2_progressive_readaptation_smoke_001,smoke,results\raw\paper2_progressive_readaptation_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.8427951388888889,7.377604166666667,9.432291666666666,4.0,1.0961776334637154
paper2_progressive_readaptation_smoke_001,smoke,results\raw\paper2_progressive_readaptation_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7198350694444445,0.0,16.809895833333332,0.0,0.0
paper2_progressive_readaptation_smoke_001,smoke,results\raw\paper2_progressive_readaptation_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8725260416666667,9.161458333333334,7.6484375,3.0,3.6280981668581567
paper2_progressive_readaptation_smoke_001,smoke,results\raw\paper2_progressive_readaptation_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8755208333333333,9.341145833333334,7.46875,3.333333333333333,3.404511066619307
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,30,0.9000755208333333,5.745052083333333,9.992447916666666,2.7666666666666666,0.0674576466282208
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,30,0.9024192708333332,5.979427083333333,9.758072916666666,3.7666666666666666,0.0272083929972723
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,30,0.9093098958333332,6.668489583333334,9.069010416666666,3.4,0.2730063464803
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.912453125,6.9828125,8.7546875,2.1666666666666665,4.10317403327208
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.842625,0.0,15.7375,0.0,0.0
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.919109375,7.6484375,8.0890625,4.966666666666667,7.344243736883315
paper2_progressive_thursday_webattacks_final_001,final,results\raw\paper2_progressive_thursday_webattacks_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.9137057291666668,7.108072916666667,8.629427083333333,5.3,6.996545886419093
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,10,0.891015625,5.91640625,10.8984375,2.8,0.0686398598132655
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,10,0.91178125,7.99296875,8.821875,3.6,0.0269316795980557
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,10,0.9221640625,9.03125,7.78359375,3.3,0.2690328099532053
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,10,0.912421875,8.05703125,8.7578125,2.3,3.811142759630457
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.8318515625,0.0,16.81484375,0.0,0.0
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.92534375,9.34921875,7.465625,4.9,7.26205757970456
paper2_progressive_thursday_webattacks_medium_001,medium,results\raw\paper2_progressive_thursday_webattacks_medium_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.92153125,8.96796875,7.846875,5.3,6.945264669694007
