method,window_idx,severity_t,balanced_accuracy_mean,gain_vs_no_adapt_mean,alarm_rate,trigger_rate,method_label
no_adaptation,48,0.6125,0.7221354166666667,0.0,,,No adaptation
no_adaptation,49,0.625,0.7239583333333334,0.0,,,No adaptation
no_adaptation,50,0.6375,0.7151041666666667,0.0,,,No adaptation
no_adaptation,51,0.65,0.7065104166666667,0.0,,,No adaptation
no_adaptation,52,0.6625,0.7049479166666667,0.0,,,No adaptation
no_adaptation,53,0.675,0.7119791666666667,0.0,,,No adaptation
no_adaptation,54,0.6875,0.6989583333333333,0.0,,,No adaptation
no_adaptation,55,0.7,0.6916666666666667,0.0,,,No adaptation
no_adaptation,56,0.7125,0.6927083333333334,0.0,,,No adaptation
no_adaptation,57,0.725,0.6768229166666667,0.0,,,No adaptation
no_adaptation,58,0.7375,0.6783854166666666,0.0,,,No adaptation
no_adaptation,59,0.75,0.68359375,0.0,,,No adaptation
no_adaptation,60,0.7625,0.6721354166666667,0.0,,,No adaptation
no_adaptation,61,0.775,0.6684895833333333,0.0,,,No adaptation
no_adaptation,62,0.7875,0.66484375,0.0,,,No adaptation
no_adaptation,63,0.8,0.6552083333333333,0.0,,,No adaptation
no_adaptation,64,0.8125,0.6505208333333333,0.0,,,No adaptation
no_adaptation,65,0.825,0.6484375,0.0,,,No adaptation
no_adaptation,66,0.8375,0.6328125,0.0,,,No adaptation
no_adaptation,67,0.85,0.6309895833333333,0.0,,,No adaptation
no_adaptation,68,0.8625,0.63984375,0.0,,,No adaptation
no_adaptation,69,0.875,0.62421875,0.0,,,No adaptation
no_adaptation,70,0.8875,0.6184895833333334,0.0,,,No adaptation
no_adaptation,71,0.9,0.6145833333333334,0.0,,,No adaptation
no_adaptation,72,0.9125,0.60859375,0.0,,,No adaptation
no_adaptation,73,0.925,0.61640625,0.0,,,No adaptation
no_adaptation,74,0.9375,0.59296875,0.0,,,No adaptation
no_adaptation,75,0.95,0.5932291666666667,0.0,,,No adaptation
no_adaptation,76,0.9625,0.5955729166666667,0.0,,,No adaptation
no_adaptation,77,0.975,0.5911458333333334,0.0,,,No adaptation
no_adaptation,78,0.9875,0.5986979166666667,0.0,,,No adaptation
no_adaptation,79,1.0,0.58671875,0.0,,,No adaptation
no_adaptation,80,1.0,0.58046875,0.0,,,No adaptation
no_adaptation,81,1.0,0.5677083333333334,0.0,,,No adaptation
no_adaptation,82,1.0,0.57890625,0.0,,,No adaptation
no_adaptation,83,1.0,0.56953125,0.0,,,No adaptation
no_adaptation,84,1.0,0.5768229166666666,0.0,,,No adaptation
no_adaptation,85,1.0,0.5830729166666667,0.0,,,No adaptation
no_adaptation,86,1.0,0.5809895833333333,0.0,,,No adaptation
no_adaptation,87,1.0,0.5921875,0.0,,,No adaptation
no_adaptation,88,1.0,0.5885416666666666,0.0,,,No adaptation
no_adaptation,89,1.0,0.57734375,0.0,,,No adaptation
no_adaptation,90,1.0,0.5809895833333333,0.0,,,No adaptation
no_adaptation,91,1.0,0.5796875,0.0,,,No adaptation
no_adaptation,92,1.0,0.56953125,0.0,,,No adaptation
no_adaptation,93,1.0,0.57578125,0.0,,,No adaptation
no_adaptation,94,1.0,0.5877604166666667,0.0,,,No adaptation
no_adaptation,95,1.0,0.5846354166666666,0.0,,,No adaptation
no_adaptation,96,1.0,0.584375,0.0,,,No adaptation
no_adaptation,97,1.0,0.5770833333333333,0.0,,,No adaptation
no_adaptation,98,1.0,0.5734375,0.0,,,No adaptation
no_adaptation,99,1.0,0.5859375,0.0,,,No adaptation
qk_mmd_pauli_xz,0,0.0125,0.946875,0.0018229166666666667,0.1,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,1,0.025,0.9455729166666667,0.003125,0.1,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,2,0.0375,0.9390625,0.00026041666666666666,0.1,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,3,0.05,0.9296875,-0.00859375,0.06666666666666667,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,4,0.0625,0.93359375,0.0049479166666666664,0.06666666666666667,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,5,0.075,0.9278645833333333,0.007291666666666667,0.13333333333333333,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,6,0.0875,0.915625,-0.0036458333333333334,0.13333333333333333,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,7,0.1,0.91484375,-0.0015625,0.1,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,8,0.1125,0.91484375,-0.00234375,0.0,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,9,0.125,0.8984375,-0.00625,0.1,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,10,0.1375,0.9010416666666666,0.0010416666666666667,0.16666666666666666,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,11,0.15,0.8911458333333333,-0.0005208333333333333,0.16666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,12,0.1625,0.9015625,0.0125,0.2,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,13,0.175,0.8830729166666667,-0.0005208333333333333,0.4,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,14,0.1875,0.8825520833333333,-0.0010416666666666667,0.26666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,15,0.2,0.8739583333333333,-0.00390625,0.23333333333333334,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,16,0.2125,0.8692708333333333,0.00078125,0.23333333333333334,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,17,0.225,0.8697916666666666,-0.009114583333333334,0.23333333333333334,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,18,0.2375,0.8729166666666667,0.010416666666666666,0.3,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,19,0.25,0.8598958333333333,-0.0018229166666666667,0.4666666666666667,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,20,0.2625,0.8622395833333333,0.008854166666666666,0.5,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,21,0.275,0.8591145833333333,0.009375,0.36666666666666664,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,22,0.2875,0.8447916666666667,-0.01171875,0.3333333333333333,0.13333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,23,0.3,0.840625,0.00026041666666666666,0.3333333333333333,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,24,0.3125,0.8481770833333333,0.016927083333333332,0.26666666666666666,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,25,0.325,0.84453125,0.0203125,0.3,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,26,0.3375,0.8473958333333333,0.030208333333333334,0.3,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,27,0.35,0.83828125,0.016666666666666666,0.36666666666666664,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,28,0.3625,0.8572916666666667,0.031510416666666666,0.3333333333333333,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,29,0.375,0.8484375,0.04010416666666667,0.4666666666666667,0.03333333333333333,QK-MMD PauliXZ
