dataset,model,condition,seed,n_per_block,inc_is_m1,ba_incumbent,ba_challenger,gap_rand,gap_m2_minus_m1
unsw_recon,svc_rbf,independent,2035,2000,True,89.55,89.325,-0.225,-0.225
unsw_recon,svc_rbf,own_transformer,2035,2000,True,89.775,89.7,-0.075,-0.075
unsw_recon,svc_rbf,independent,2036,2000,True,90.0,89.65,-0.35,-0.35
unsw_recon,svc_rbf,own_transformer,2036,2000,True,89.95,89.55,-0.4,-0.4
unsw_recon,svc_rbf,independent,2037,2000,False,88.725,89.2,0.475,-0.475
unsw_recon,svc_rbf,own_transformer,2037,2000,False,88.8,89.175,0.375,-0.375
unsw_recon,svc_rbf,independent,2038,2000,True,88.625,88.625,0.0,0.0
unsw_recon,svc_rbf,own_transformer,2038,2000,True,88.6,89.025,0.425,0.425
unsw_recon,svc_rbf,independent,2039,2000,True,88.925,89.025,0.1,0.1
unsw_recon,svc_rbf,own_transformer,2039,2000,True,88.9,89.05,0.15,0.15
unsw_recon,svc_rbf,independent,2040,2000,True,89.275,88.775,-0.5,-0.5
unsw_recon,svc_rbf,own_transformer,2040,2000,True,89.075,88.825,-0.25,-0.25
unsw_recon,svc_rbf,independent,2041,2000,False,88.825,88.625,-0.2,0.2
unsw_recon,svc_rbf,own_transformer,2041,2000,False,88.675,88.525,-0.15,0.15
unsw_recon,svc_rbf,independent,2042,2000,True,87.65,87.775,0.125,0.125
unsw_recon,svc_rbf,own_transformer,2042,2000,True,87.65,87.775,0.125,0.125
unsw_recon,svc_rbf,independent,2043,2000,True,89.625,89.75,0.125,0.125
unsw_recon,svc_rbf,own_transformer,2043,2000,True,89.65,89.775,0.125,0.125
unsw_recon,svc_rbf,independent,2044,2000,False,89.1,89.1,0.0,0.0
unsw_recon,svc_rbf,own_transformer,2044,2000,False,89.1,89.15,0.05,-0.05
unsw_recon,svc_rbf,independent,2045,2000,True,88.725,88.825,0.1,0.1
unsw_recon,svc_rbf,own_transformer,2045,2000,True,88.975,89.125,0.15,0.15
unsw_recon,svc_rbf,independent,2046,2000,False,88.325,88.575,0.25,-0.25
unsw_recon,svc_rbf,own_transformer,2046,2000,False,88.7,89.1,0.4,-0.4
unsw_recon,svc_rbf,independent,2047,2000,True,89.175,89.275,0.1,0.1
unsw_recon,svc_rbf,own_transformer,2047,2000,True,89.325,89.525,0.2,0.2
unsw_recon,svc_rbf,independent,2048,2000,True,87.95,88.175,0.225,0.225
unsw_recon,svc_rbf,own_transformer,2048,2000,True,88.2,88.375,0.175,0.175
unsw_recon,svc_rbf,independent,2049,2000,True,88.175,88.525,0.35,0.35
unsw_recon,svc_rbf,own_transformer,2049,2000,True,88.05,88.8,0.75,0.75
unsw_recon,svc_rbf,independent,2050,2000,False,89.85,89.175,-0.675,0.675
unsw_recon,svc_rbf,own_transformer,2050,2000,False,89.85,89.275,-0.575,0.575
unsw_recon,svc_rbf,independent,2051,2000,True,88.225,88.275,0.05,0.05
unsw_recon,svc_rbf,own_transformer,2051,2000,True,88.525,88.225,-0.3,-0.3
unsw_recon,svc_rbf,independent,2052,2000,False,89.475,89.8,0.325,-0.325
unsw_recon,svc_rbf,own_transformer,2052,2000,False,89.825,89.725,-0.1,0.1
unsw_recon,svc_rbf,independent,2053,2000,False,89.4,89.675,0.275,-0.275
unsw_recon,svc_rbf,own_transformer,2053,2000,False,89.7,89.5,-0.2,0.2
unsw_recon,svc_rbf,independent,2054,2000,True,88.75,88.925,0.175,0.175
unsw_recon,svc_rbf,own_transformer,2054,2000,True,88.8,88.85,0.05,0.05
